[2025-05-08 12:13:00]  1, pdu_to_send=1, status=NEW, ackedNo=4294967295
[2025-05-08 12:13:00]  1, pdu_to_send=2, status=NEW, ackedNo=4294967295
[2025-05-08 12:13:00]  1, pdu_to_send=3, status=NEW, ackedNo=4294967295
[2025-05-08 12:13:00]  1, pdu_to_send=4, status=NEW, ackedNo=4294967295
[2025-05-08 12:13:00]  1, pdu_to_send=5, status=NEW, ackedNo=4294967295
[2025-05-08 12:13:00]  1, pdu_to_send=6, status=NEW, ackedNo=4294967295
[2025-05-08 12:13:00]  1, pdu_to_send=7, status=NEW, ackedNo=4294967295
[2025-05-08 12:13:00]  1, pdu_to_send=8, status=NEW, ackedNo=4294967295
[2025-05-08 12:13:00]  1, pdu_to_send=9, status=NEW, ackedNo=4294967295
[2025-05-08 12:13:00]  1, pdu_to_send=10, status=NEW, ackedNo=4294967295
[2025-05-08 12:13:00]  1, pdu_to_send=11, status=NEW, ackedNo=4294967295
[2025-05-08 12:13:00]  1, pdu_to_send=12, status=NEW, ackedNo=4294967295
[2025-05-08 12:13:00]  1, pdu_to_send=13, status=NEW, ackedNo=4294967295
[2025-05-08 12:13:00]  1, pdu_to_send=14, status=NEW, ackedNo=4294967295
[2025-05-08 12:13:00]  1, pdu_to_send=15, status=NEW, ackedNo=4294967295
[2025-05-08 12:13:00]  1, pdu_to_send=16, status=NEW, ackedNo=4294967295
[2025-05-08 12:13:00]  1, pdu_to_send=17, status=NEW, ackedNo=4294967295
[2025-05-08 12:13:00]  1, pdu_to_send=18, status=NEW, ackedNo=4294967295
[2025-05-08 12:13:00]  1, pdu_to_send=19, status=NEW, ackedNo=4294967295
[2025-05-08 12:13:00]  1, pdu_to_send=20, status=NEW, ackedNo=4294967295
[2025-05-08 12:13:00]  1, pdu_to_send=21, status=NEW, ackedNo=4294967295
[2025-05-08 12:13:00]  1, pdu_to_send=22, status=NEW, ackedNo=4294967295
[2025-05-08 12:13:00]  1, pdu_to_send=23, status=NEW, ackedNo=4294967295
[2025-05-08 12:13:00]  1, pdu_to_send=24, status=NEW, ackedNo=4294967295
[2025-05-08 12:13:00]  1, pdu_to_send=25, status=NEW, ackedNo=4294967295
[2025-05-08 12:13:00]  1, pdu_to_send=26, status=NEW, ackedNo=4294967295
[2025-05-08 12:13:00]  1, pdu_to_send=27, status=NEW, ackedNo=4294967295
[2025-05-08 12:13:00]  1, pdu_to_send=28, status=NEW, ackedNo=4294967295
[2025-05-08 12:13:00]  1, pdu_to_send=29, status=NEW, ackedNo=4294967295
[2025-05-08 12:13:00]  1, pdu_to_send=30, status=NEW, ackedNo=4294967295
[2025-05-08 12:13:00]  1, pdu_to_send=31, status=NEW, ackedNo=1
[2025-05-08 12:13:00]  1, pdu_to_send=32, status=NEW, ackedNo=2
[2025-05-08 12:13:00]  1, pdu_to_send=33, status=NEW, ackedNo=3
[2025-05-08 12:13:00]  1, pdu_to_send=34, status=NEW, ackedNo=4
[2025-05-08 12:13:01]  2, pdu_to_send=5, status=TO , ackedNo=4
[2025-05-08 12:13:01]  2, pdu_to_send=6, status=RT , ackedNo=4
[2025-05-08 12:13:01]  2, pdu_to_send=7, status=RT , ackedNo=4
[2025-05-08 12:13:01]  2, pdu_to_send=8, status=RT , ackedNo=4
[2025-05-08 12:13:01]  2, pdu_to_send=9, status=RT , ackedNo=4
[2025-05-08 12:13:01]  2, pdu_to_send=10, status=RT , ackedNo=4
[2025-05-08 12:13:01]  2, pdu_to_send=11, status=RT , ackedNo=4
[2025-05-08 12:13:01]  2, pdu_to_send=12, status=RT , ackedNo=4
[2025-05-08 12:13:01]  2, pdu_to_send=13, status=RT , ackedNo=4
[2025-05-08 12:13:01]  2, pdu_to_send=14, status=RT , ackedNo=4
[2025-05-08 12:13:01]  2, pdu_to_send=15, status=RT , ackedNo=4
[2025-05-08 12:13:01]  2, pdu_to_send=16, status=RT , ackedNo=4
[2025-05-08 12:13:01]  2, pdu_to_send=17, status=RT , ackedNo=4
[2025-05-08 12:13:01]  2, pdu_to_send=18, status=RT , ackedNo=4
[2025-05-08 12:13:01]  2, pdu_to_send=19, status=RT , ackedNo=4
[2025-05-08 12:13:01]  2, pdu_to_send=20, status=RT , ackedNo=4
[2025-05-08 12:13:01]  2, pdu_to_send=21, status=RT , ackedNo=4
[2025-05-08 12:13:01]  2, pdu_to_send=22, status=RT , ackedNo=4
[2025-05-08 12:13:01]  2, pdu_to_send=23, status=RT , ackedNo=4
[2025-05-08 12:13:01]  2, pdu_to_send=24, status=RT , ackedNo=4
[2025-05-08 12:13:01]  2, pdu_to_send=25, status=RT , ackedNo=4
[2025-05-08 12:13:01]  2, pdu_to_send=26, status=RT , ackedNo=4
[2025-05-08 12:13:01]  2, pdu_to_send=27, status=RT , ackedNo=4
[2025-05-08 12:13:01]  2, pdu_to_send=28, status=RT , ackedNo=4
[2025-05-08 12:13:01]  2, pdu_to_send=29, status=RT , ackedNo=4
[2025-05-08 12:13:01]  2, pdu_to_send=30, status=RT , ackedNo=4
[2025-05-08 12:13:01]  2, pdu_to_send=31, status=RT , ackedNo=4
[2025-05-08 12:13:01]  2, pdu_to_send=32, status=RT , ackedNo=4
[2025-05-08 12:13:01]  2, pdu_to_send=33, status=RT , ackedNo=4
[2025-05-08 12:13:01]  2, pdu_to_send=34, status=RT , ackedNo=4
[2025-05-08 12:13:01]  3, pdu_to_send=5, status=TO , ackedNo=4
[2025-05-08 12:13:01]  3, pdu_to_send=6, status=RT , ackedNo=4
[2025-05-08 12:13:01]  3, pdu_to_send=7, status=RT , ackedNo=4
[2025-05-08 12:13:01]  3, pdu_to_send=8, status=RT , ackedNo=4
[2025-05-08 12:13:01]  3, pdu_to_send=9, status=RT , ackedNo=4
[2025-05-08 12:13:01]  3, pdu_to_send=10, status=RT , ackedNo=4
[2025-05-08 12:13:01]  3, pdu_to_send=11, status=RT , ackedNo=4
[2025-05-08 12:13:01]  3, pdu_to_send=12, status=RT , ackedNo=4
[2025-05-08 12:13:01]  3, pdu_to_send=13, status=RT , ackedNo=4
[2025-05-08 12:13:01]  3, pdu_to_send=14, status=RT , ackedNo=4
[2025-05-08 12:13:01]  3, pdu_to_send=15, status=RT , ackedNo=4
[2025-05-08 12:13:01]  3, pdu_to_send=16, status=RT , ackedNo=4
[2025-05-08 12:13:01]  3, pdu_to_send=17, status=RT , ackedNo=4
[2025-05-08 12:13:01]  3, pdu_to_send=18, status=RT , ackedNo=4
[2025-05-08 12:13:01]  3, pdu_to_send=19, status=RT , ackedNo=4
[2025-05-08 12:13:01]  3, pdu_to_send=20, status=RT , ackedNo=4
[2025-05-08 12:13:01]  3, pdu_to_send=21, status=RT , ackedNo=4
[2025-05-08 12:13:01]  3, pdu_to_send=22, status=RT , ackedNo=4
[2025-05-08 12:13:01]  3, pdu_to_send=23, status=RT , ackedNo=4
[2025-05-08 12:13:01]  3, pdu_to_send=24, status=RT , ackedNo=4
[2025-05-08 12:13:01]  3, pdu_to_send=25, status=RT , ackedNo=4
[2025-05-08 12:13:01]  3, pdu_to_send=26, status=RT , ackedNo=4
[2025-05-08 12:13:01]  3, pdu_to_send=27, status=RT , ackedNo=4
[2025-05-08 12:13:01]  3, pdu_to_send=28, status=RT , ackedNo=4
